product_name,category,subcategory
Quaker Oats Old Fashioned,Grains,
Siggis Icelandic Yogurt,Dairy,
Blue Diamond Almonds,Nuts,
Amy's Lentil Soup,Vegetables,
Kind Dark Chocolate Bar,Snacks,
San Pellegrino Water,Beverages,
Beyond Meat Burger,Proteins,
Rao's Marinara Sauce,Condiments,
Chobani Zero Sugar Yogurt,Dairy,
Banza Chickpea Pasta,Grains,
LaCroix Sparkling Water,Beverages,
RxBar Protein Bar,Snacks,
Wild Planet Salmon,Proteins,
Terra Sweet Potato Chips,Snacks,
Bob's Red Mill Oats,Grains,
Simple Mills Crackers,Snacks,
Coconut Water,Beverages,
Applegate Turkey Breast,Proteins,
Navitas Cacao Nibs,Snacks,
Oatly Oat Milk,Dairy,
Dave's Killer Bread,Grains,
Perfect Bar,Snacks,
Stonyfield Yogurt,Dairy,
Justin's Almond Butter,Nuts,
Halo Top Ice Cream,Dairy,
Epic Protein Bar,Proteins,
Purely Elizabeth Granola,Grains,
Green Giant Veggie Tots,Vegetables,
Annie's Mac and Cheese,Grains,
Luna Protein Bar,Snacks,
No Cow Protein Bar,Snacks,
Think! Protein Bar,Snacks,
Quest Protein Chip,Snacks,
Bai Antioxidant Drink,Beverages,
Sparkling Ice Water,Beverages,
Hint Flavored Water,Beverages,
Spindrift Sparkling,Beverages,
Zevia Soda,Beverages,
Olipop Prebiotic Soda,Beverages,
Poppi Prebiotic Soda,Beverages,
Impossible Burger,Proteins,
Morningstar Farms Veggie,Proteins,
Gardein Plant Based,Proteins,
Field Roast Sausage,Proteins,
Lightlife Smart Dogs,Proteins,
Upton's Seitan,Proteins,
Sweet Earth Seitan,Proteins,
Primal Kitchen Mayo,Condiments,
Sir Kensington Mayo,Condiments,
Chosen Foods Avocado Oil,Condiments,
Nutpods Creamer,Dairy,
Califia Almond Milk,Dairy,
Ripple Milk,Dairy,
Kite Hill Yogurt,Dairy,
Forager Yogurt,Dairy,
Miyoko's Cheese,Dairy,
Violife Cheese,Dairy,
So Delicious Ice Cream,Dairy,
NadaMoo Ice Cream,Dairy,
Hu Chocolate,Snacks,
Lily's Chocolate,Snacks,
Enjoy Life Chocolate,Snacks,
Unreal Chocolate,Snacks,
Alter Eco Chocolate,Snacks,
Barnana Chips,Snacks,
Siete Tortilla Chips,Snacks,
Brad's Plant Chips,Snacks,
Jackson's Sweet Potato,Snacks,
Bare Apple Chips,Snacks,
That's It Fruit Bar,Snacks,
GoMacro Protein Bar,Snacks,
88 Acres Seed Bar,Snacks,
Bulletproof Collagen,Proteins,
Vital Proteins Collagen,Proteins,
Orgain Protein Powder,Proteins,
Garden of Life Protein,Proteins,
Sunwarrior Protein,Proteins,
KOS Protein Powder,Proteins,
Bob's Red Mill Protein,Proteins,
Now Sports Protein,Proteins,
Nutiva Hemp Protein,Proteins,
Anthony's Pea Protein,Proteins,
Navitas Hemp Seeds,Nuts,
Terrasoul Chia Seeds,Nuts,
Viva Naturals Flax,Nuts,
NOW Foods Pumpkin,Nuts,
Food to Live Walnuts,Nuts,
Kirkland Cashews,Nuts,
365 Pecan Halves,Nuts,
Trader Joe's Pistachios,Nuts,
Whole Foods Brazil,Nuts,
Bobs Red Mill Flax,Grains,
Arrowhead Mills Quinoa,Grains,
Lundberg Brown Rice,Grains,
Ancient Harvest Pasta,Grains,
Jovial Pasta,Grains,
Tinkyada Pasta,Grains,
DeLallo Pasta,Grains,
Ronzoni Pasta,Grains,
Barilla Protein Pasta,Grains,
Explore Cuisine Pasta,Grains,
